episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
623,672,64,1075,1075,0,147.812005,178593
624,524,32,474,474,0,148.263075,179067
625,196,16,565,565,0,148.774661,179632
626,1028,128,1213,1213,0,149.924541,180845
627,664,64,840,840,0,150.703099,181685
628,932,64,1004,1004,0,151.632515,182689
629,1088,128,1269,1269,0,152.809507,183958
630,620,64,682,682,0,153.431848,184640
631,1088,128,991,991,0,154.335867,185631
632,784,64,895,895,0,155.164036,186526
633,572,64,618,618,0,155.736613,187144
634,1180,128,1134,1134,0,156.788636,188278
635,1016,128,1243,1243,0,157.977406,189521
636,896,64,824,824,0,158.761143,190345
637,1008,64,1550,1550,0,160.182862,191895
638,1104,128,1138,1138,0,161.169526,193033
639,416,32,592,592,0,161.678396,193625
640,624,64,854,854,0,162.409712,194479
641,604,64,846,846,0,163.151303,195325
642,712,64,1081,1081,0,164.125509,196406
643,1068,128,1260,1260,0,165.284363,197666
644,840,64,948,948,0,166.145779,198614
645,1076,128,1104,1104,0,167.111444,199718
646,656,64,795,795,0,168.181138,200513
647,996,64,1214,1214,0,169.297236,201727
648,872,64,1235,1235,0,170.426589,202962
649,1296,128,1659,1659,0,171.95745,204621
650,600,64,806,806,0,172.702766,205427
651,656,64,765,765,0,173.406593,206192
652,2332,256,1945,1945,0,175.214839,208137
653,416,32,442,442,0,175.62392,208579
654,488,64,1006,1006,0,176.573621,209585
655,1204,128,1175,1175,0,177.668118,210760
656,412,32,601,601,0,178.229366,211361
657,932,64,1006,1006,0,179.18389,212367
658,728,64,1401,1401,0,180.48072,213768
659,504,32,409,409,0,180.861885,214177
660,560,64,837,837,0,181.632567,215014
661,396,32,720,720,0,182.287342,215734
662,480,32,382,382,0,182.637568,216116
663,1260,128,1225,1225,0,183.77128,217341
664,580,64,885,885,0,184.591059,218226
665,1032,64,1029,1029,0,185.541473,219255
666,440,32,810,810,0,186.295296,220065
